Country,total arrivals,overnight visitors,total expenditure,travel expenditure
Australia,3694000,,24214000000,
Brazil,,3630000,4968000000,
Canada,17924000,,,24241000000
China,25250000,,,9583000000
Egypt,11724000,,13625000000,
France,,,67369000000,
Germany,,28463000,31257000000,
India,14330000,,22410000000,
Indonesia,5889000,,7036000000,
Iran,4108000,,,
Israel,2851000,,6266000000,
Italy,74317000,,44848000000,
Japan,3832000,,10633000000,
Mexico,65995000,,30389000000,
Netherlands,,65995000,18583000000,
New Zealand,1434000,,,4096000000
Pakistan,,,1182000000,
Phillipines,,2654000,5239000000,
Poland,71814000,,16419000000,
Russia,,,6819000000,
Singapore,6306000,,,11794000000
South Africa,7342000,,4793000000,
Spain,104968000,,,72097000000
Sweden,,6629000,,8962000000
Switzerland,,9160000,19225000000,
Turkey,51388000,,57849000000,
Ukraine,2307000,,849000000,
United Arab Emirates,,,,
United Kingdom,31244000,,,67587000000
United States,,50870000,165461000000,
